LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,YEAR,QUARTER,TIME,GDP
USA,QGDP,VOLIDX,IDX,Q,2012,4,2012-Q4,93.7306398
USA,QGDP,VOLIDX,IDX,Q,2013,1,2013-Q1,94.54402449
USA,QGDP,VOLIDX,IDX,Q,2013,2,2013-Q2,94.67580489
USA,QGDP,VOLIDX,IDX,Q,2013,3,2013-Q3,95.42530913
USA,QGDP,VOLIDX,IDX,Q,2013,4,2013-Q4,96.10394625
USA,QGDP,VOLIDX,IDX,Q,2014,1,2014-Q1,95.76747698
USA,QGDP,VOLIDX,IDX,Q,2014,2,2014-Q2,96.99725483
USA,QGDP,VOLIDX,IDX,Q,2014,3,2014-Q3,98.12723565
USA,QGDP,VOLIDX,IDX,Q,2014,4,2014-Q4,98.56782046
USA,QGDP,VOLIDX,IDX,Q,2015,1,2015-Q1,99.36948598
USA,QGDP,VOLIDX,IDX,Q,2015,2,2015-Q2,99.94583042
USA,QGDP,VOLIDX,IDX,Q,2015,3,2015-Q3,100.2690279
USA,QGDP,VOLIDX,IDX,Q,2015,4,2015-Q4,100.4156557
USA,QGDP,VOLIDX,IDX,Q,2016,1,2016-Q1,101.0072845
USA,QGDP,VOLIDX,IDX,Q,2016,2,2016-Q2,101.3127192
USA,QGDP,VOLIDX,IDX,Q,2016,3,2016-Q3,101.9217256
USA,QGDP,VOLIDX,IDX,Q,2016,4,2016-Q4,102.4281632
USA,QGDP,VOLIDX,IDX,Q,2017,1,2017-Q1,102.8682592
USA,QGDP,VOLIDX,IDX,Q,2017,2,2017-Q2,103.3865023
USA,QGDP,VOLIDX,IDX,Q,2017,3,2017-Q3,104.2420139
USA,QGDP,VOLIDX,IDX,Q,2017,4,2017-Q4,105.2903343
USA,QGDP,VOLIDX,IDX,Q,2018,1,2018-Q1,106.0196318
USA,QGDP,VOLIDX,IDX,Q,2018,2,2018-Q2,106.7589522
USA,QGDP,VOLIDX,IDX,Q,2018,3,2018-Q3,107.5297902
USA,QGDP,VOLIDX,IDX,Q,2018,4,2018-Q4,107.7252613
USA,QGDP,VOLIDX,IDX,Q,2019,1,2019-Q1,108.3098977
USA,QGDP,VOLIDX,IDX,Q,2019,2,2019-Q2,109.038833
USA,QGDP,VOLIDX,IDX,Q,2019,3,2019-Q3,110.0092421
USA,QGDP,VOLIDX,IDX,Q,2019,4,2019-Q4,110.4966346
USA,QGDP,VOLIDX,IDX,Q,2020,1,2020-Q1,109.1981288
USA,QGDP,VOLIDX,IDX,Q,2020,2,2020-Q2,99.93339245
USA,QGDP,VOLIDX,IDX,Q,2020,3,2020-Q3,107.7826439
USA,QGDP,VOLIDX,IDX,Q,2020,4,2020-Q4,108.8208206
USA,QGDP,VOLIDX,IDX,Q,2021,1,2021-Q1,110.4996995
USA,QGDP,VOLIDX,IDX,Q,2021,2,2021-Q2,112.385947
USA,QGDP,VOLIDX,IDX,Q,2021,3,2021-Q3,113.1239793
USA,QGDP,VOLIDX,IDX,Q,2021,4,2021-Q4,115.0422159
USA,QGDP,VOLIDX,IDX,Q,2022,1,2022-Q1,114.5701537
USA,QGDP,VOLIDX,IDX,Q,2022,2,2022-Q2,114.4044464
USA,QGDP,VOLIDX,IDX,Q,2022,3,2022-Q3,115.3210035
USA,QGDP,VOLIDX,IDX,Q,2022,4,2022-Q4,116.0560572
USA,QGDP,VOLIDX,IDX,Q,2023,1,2023-Q1,116.6326374
